County,Requests,Date
Suffolk,1,5/2/2020
Nassau,1,5/3/2020
Suffolk,2,5/3/2020
Nassau,3,5/4/2020
Rockland,3,5/4/2020
Dutchess,3,5/5/2020
Orange,3,5/5/2020
Rockland,2,5/5/2020
Dutchess,2,5/6/2020
Orange,1,5/6/2020
Putnam,4,5/6/2020
Rockland,4,5/6/2020
Dutchess,1,5/7/2020
Putnam,1,5/7/2020
Rockland,2,5/7/2020
Suffolk,1,5/7/2020
Dutchess,2,5/8/2020
Orange,1,5/8/2020
Putnam,3,5/8/2020
Rensselaer,1,5/8/2020
Rockland,1,5/8/2020
Ulster,1,5/8/2020
Dutchess,2,5/9/2020
Nassau,1,5/9/2020
Orange,1,5/9/2020
Putnam,2,5/9/2020
Clinton,1,5/10/2020
Nassau,1,5/10/2020
Orange,2,5/10/2020
Rockland,2,5/10/2020
Suffolk,1,5/10/2020
Ulster,1,5/10/2020
Albany,1,5/11/2020
Broome,1,5/11/2020
Dutchess,1,5/11/2020
Nassau,2,5/11/2020
Orange,1,5/11/2020
Putnam,1,5/11/2020
Suffolk,2,5/11/2020
Albany,2,5/12/2020
Broome,8,5/12/2020
Dutchess,3,5/12/2020
Erie,2,5/12/2020
Monroe,1,5/12/2020
Nassau,1,5/12/2020
Orange,2,5/12/2020
Putnam,2,5/12/2020
Rockland,3,5/12/2020
Saratoga,1,5/12/2020
Schenectady,1,5/12/2020
Steuben,1,5/12/2020
Suffolk,1,5/12/2020
Tompkins,2,5/12/2020
Albany,3,5/13/2020
Broome,38,5/13/2020
Chemung,1,5/13/2020
Clinton,1,5/13/2020
Dutchess,4,5/13/2020
Erie,3,5/13/2020
Nassau,2,5/13/2020
Orange,3,5/13/2020
Putnam,2,5/13/2020
Rockland,3,5/13/2020
Steuben,1,5/13/2020
Suffolk,1,5/13/2020
Sullivan,1,5/13/2020
Tioga,1,5/13/2020
Tompkins,3,5/13/2020
Washington,1,5/13/2020
Albany,2,5/14/2020
Broome,4,5/14/2020
Dutchess,3,5/14/2020
Monroe,6,5/14/2020
Orange,3,5/14/2020
Rensselaer,2,5/14/2020
Rockland,2,5/14/2020
Suffolk,2,5/14/2020
Tompkins,17,5/14/2020
Albany,8,5/15/2020
Columbia,1,5/15/2020
Cortland,2,5/15/2020
Dutchess,4,5/15/2020
Erie,3,5/15/2020
Monroe,2,5/15/2020
Onondaga,1,5/15/2020
Orange,1,5/15/2020
Orleans,1,5/15/2020
Putnam,1,5/15/2020
Rensselaer,1,5/15/2020
Rockland,1,5/15/2020
Saratoga,1,5/15/2020
Suffolk,1,5/15/2020
Tompkins,11,5/15/2020
Ulster,1,5/15/2020
Albany,23,5/16/2020
Broome,51,5/16/2020
Chemung,1,5/16/2020
Clinton,1,5/16/2020
Dutchess,5,5/16/2020
Erie,8,5/16/2020
Essex,1,5/16/2020
Nassau,5,5/16/2020
Onondaga,6,5/16/2020
Orange,3,5/16/2020
Putnam,2,5/16/2020
Rensselaer,3,5/16/2020
Rockland,3,5/16/2020
Saratoga,3,5/16/2020
